t (s),V (mV)
0,7.1398
2.029,7.1253
4.058,7.111
6.087,7.0952
8.115,7.0781
10.144,7.0612
12.173,7.0446
14.202,7.0265
16.231,7.0093
18.26,6.9924
19.339,6.9827
20.892,6.9692
22.921,6.9509
25.912,6.9245
27.941,6.9069
29.969,6.8894
31.998,6.8719
34.027,6.8543
36.056,6.8373
38.085,6.8218
40.114,6.8052
42.142,6.7894
44.171,6.7724
46.201,6.7574
49.191,6.7334
51.219,6.7178
53.248,6.7013
54.327,6.6922
55.881,6.6801
57.91,6.6651
59.939,6.6481
61.968,6.6337
63.996,6.6182
66.025,6.6034
68.054,6.5882
70.083,6.5721
73.073,6.5499
75.102,6.536
77.131,6.5214
79.16,6.5072
81.188,6.4925
83.217,6.4786
85.246,6.464
86.325,6.4562
87.878,6.4441
89.907,6.43
91.936,6.4151
93.964,6.4001
96.955,6.3792
98.983,6.3642
101.012,6.3504
103.041,6.3362
105.07,6.3222
107.099,6.3077
109.127,6.2939
111.156,6.2798
113.184,6.2654
115.213,6.2521
117.242,6.2385
120.232,6.2173
122.261,6.204
124.289,6.1904
125.844,6.1804
127.873,6.1669
129.901,6.1527
131.93,6.1394
133.959,6.1266
135.987,6.112
138.016,6.0993
140.045,6.0857
143.035,6.0661
145.064,6.0526
147.093,6.0391
149.121,6.0261
151.15,6.0132
153.179,5.9999
155.207,5.9867
157.236,5.9727
158.315,5.9656
159.869,5.9559
161.898,5.9438
163.927,5.9302
166.917,5.9122
168.946,5.8986
170.975,5.886
173.003,5.8729
175.032,5.8612
177.061,5.8491
179.089,5.8354
181.118,5.823
183.147,5.8106
185.176,5.7989
187.205,5.7857
190.195,5.7666
192.224,5.7548
194.252,5.7419
195.331,5.7344
196.885,5.7248
198.914,5.7136
200.943,5.7015
202.971,5.69
205,5.6782
207.029,5.6674
209.058,5.6569
211.086,5.6437
214.077,5.627
216.106,5.6154
218.134,5.604
220.163,5.593
222.192,5.5812
224.221,5.5691
226.25,5.5584
227.329,5.5527
228.882,5.543
230.911,5.5319
232.94,5.5226
234.969,5.5113
237.959,5.4943
239.988,5.4822
242.017,5.472
244.045,5.4596
246.074,5.4487
248.103,5.4374
250.132,5.4266
252.16,5.4176
254.189,5.4047
256.218,5.3939
258.247,5.3838
261.237,5.3677
262.316,5.3609
263.87,5.3523
265.899,5.341
267.928,5.3289
269.956,5.3179
271.985,5.3069
274.014,5.2949
276.043,5.2834
278.071,5.2724
280.1,5.2622
282.129,5.2509
285.119,5.2335
287.148,5.2232
289.177,5.2126
291.206,5.2021
293.234,5.1918
294.313,5.1852
295.867,5.1785
297.896,5.1679
299.925,5.1564
301.954,5.1468
303.982,5.136
306.011,5.1244
309.002,5.1088
311.03,5.0977
313.059,5.0876
315.088,5.0756
317.117,5.0655
319.145,5.0548
321.174,5.0447
323.203,5.0339
325.232,5.0232
327.261,5.0118
329.289,5.0019
331.33,4.9913
332.883,4.9829
334.912,4.9708
336.941,4.9601
338.97,4.9483
340.998,4.9353
343.027,4.926
345.056,4.9142
347.085,4.9011
349.113,4.8898
351.142,4.8799
353.171,4.8695
356.161,4.855
358.19,4.8459
360.219,4.8354
362.248,4.8224
363.327,4.8145
364.88,4.8071
366.909,4.8016
368.938,4.792
370.966,4.7816
372.995,4.7704
375.024,4.7603
377.053,4.7484
380.043,4.7347
382.072,4.725
384.101,4.7151
386.129,4.7059
388.158,4.6968
390.187,4.6878
392.216,4.6781
394.245,4.6689
395.323,4.6635
396.877,4.6571
398.906,4.6471
400.935,4.6366
403.925,4.6237
405.954,4.6142
407.982,4.6038
410.011,4.5948
412.04,4.5841
414.069,4.5758
416.097,4.5662
418.126,4.5567
420.155,4.5479
422.184,4.5379
424.212,4.529
427.203,4.5143
429.232,4.5044
431.26,4.4939
433.289,4.4842
434.843,4.4762
436.872,4.4663
438.901,4.4572
440.93,4.4477
442.959,4.4382
444.987,4.4283
447.016,4.4196
450.007,4.4059
452.035,4.3955
454.064,4.3864
456.093,4.3761
458.121,4.3671
460.15,4.3581
462.179,4.3497
464.208,4.3398
466.237,4.332
467.315,4.3273
468.87,4.3202
470.898,4.3112
473.889,4.2965
475.917,4.2888
477.946,4.2794
479.975,4.2709
482.004,4.262
484.032,4.2529
486.061,4.2451
488.09,4.2368
490.119,4.2286
492.148,4.2193
494.176,4.2121
497.167,4.1999
499.196,4.1867
501.224,4.176
503.253,4.1733
504.332,4.1692
505.886,4.1643
507.915,4.1544
509.943,4.1427
511.972,4.1346
514.001,4.1283
516.03,4.1098
518.059,4.113
521.049,4.1002
523.078,4.0899
525.107,4.0811
527.136,4.0721
529.165,4.0652
531.193,4.0555
533.222,4.0463
535.251,4.0361
536.331,4.0334
537.884,4.0271
539.913,4.0162
541.942,4.0071
544.932,3.9944
546.961,3.9853
548.99,3.978
551.019,3.9699
